model No., SED No., chisq, chisq(non-limit), mc (msun), Sigma (g/cm^2), ms (msun), mu (deg), dis (pc), av, rcore (AU), menv (msun), theta_w (deg), rstar (rsun), lstar (lsun), tstar (K), mdisk (msun), rdisk (AU), mdotd (msun/yr), ltot (Lsun), ltot_inc (Lsun), ltot_av (Lsun), tnow (yr)
15 09_03_08_06   2.820353e+00  4.431983e+00  1.200000e+02  1.000000e+00  2.400000e+01  4.353115e+01  2.200000e+03  9.222553e+01  1.662706e+04  6.768737e+01  3.746210e+01  6.554690e+00  9.224350e+04  3.931060e+04  8.000000e+00  1.120310e+02  4.873940e-04  1.413113e+05  4.719380e+04  2.626859e+04  8.343896e+04
16 08_04_06_03   2.932711e+00  4.608546e+00  1.000000e+02  3.160000e+00  1.200000e+01  2.895502e+01  2.200000e+03  7.948164e+01  8.538484e+03  7.672601e+01  2.021520e+01  6.277730e+01  4.879520e+04  1.083290e+04  4.000000e+00  4.366250e+01  9.397170e-04  5.249748e+04  4.203692e+04  2.756701e+04  2.656534e+04
17 08_03_06_03   2.994014e+00  4.704879e+00  1.000000e+02  1.000000e+00  1.200000e+01  2.895502e+01  2.200000e+03  4.192070e+01  1.517836e+04  7.747901e+01  2.225340e+01  1.772280e+01  4.067460e+04  1.948120e+04  4.000000e+00  6.763190e+01  3.767730e-04  4.727935e+04  3.389570e+04  2.696782e+04  6.041429e+04
18 12_02_10_11   3.059047e+00  4.807073e+00  2.400000e+02  3.160000e-01  4.800000e+01  6.164064e+01  2.200000e+03  1.271706e+02  4.182992e+04  1.041684e+02  4.968000e+01  9.512270e+00  3.397260e+05  4.520550e+04  1.600000e+01  3.229660e+02  2.923700e-04  3.804901e+05  6.193665e+04  2.785198e+04  2.452478e+05
19 08_04_09_13   3.074892e+00  4.831974e+00  1.000000e+02  3.160000e+00  3.200000e+01  6.797569e+01  2.200000e+03  7.948164e+01  8.538484e+03  3.691999e+01  4.241740e+01  8.724670e+00  2.364350e+05  4.311270e+04  1.066667e+01  8.726460e+01  1.217850e-03  3.549622e+05  4.398689e+04  2.685890e+04  4.388582e+04
20 12_02_08_04   3.203488e+00  5.034053e+00  2.400000e+02  3.160000e-01  2.400000e+01  3.441151e+01  2.200000e+03  1.139237e+02  4.182992e+04  1.831415e+02  2.822620e+01  6.413210e+00  7.840710e+04  3.815950e+04  8.000000e+00  1.665010e+02  2.673360e-04  1.067621e+05  6.067028e+04  3.210862e+04  1.632955e+05
21 07_04_08_06   3.212437e+00  5.048115e+00  8.000000e+01  3.160000e+00  2.400000e+01  4.353115e+01  2.200000e+03  1.589633e+02  7.637065e+03  3.511869e+01  3.733170e+01  1.143100e+01  1.979280e+05  3.602760e+04  8.000000e+00  6.980460e+01  1.053250e-03  2.554954e+05  9.993670e+04  2.800740e+04  3.936758e+04
22 08_03_07_04   3.219509e+00  5.059228e+00  1.000000e+02  1.000000e+00  1.600000e+01  3.441151e+01  2.200000e+03  1.006097e+02  1.517836e+04  6.667845e+01  2.834590e+01  8.243510e+00  7.045510e+04  3.276980e+04  5.333333e+00  8.546730e+01  4.187170e-04  9.259419e+04  5.231936e+04  2.868966e+04  7.065073e+04
23 10_02_08_08   3.307729e+00  5.197861e+00  1.600000e+02  3.160000e-01  2.400000e+01  5.131781e+01  2.200000e+03  5.033838e+01  3.415398e+04  9.758998e+01  3.723050e+01  6.393850e+00  7.600370e+04  3.792100e+04  8.000000e+00  1.893330e+02  2.215530e-04  9.937001e+04  3.123594e+04  2.302134e+04  1.840496e+05
24 10_03_09_06   3.407126e+00  5.354054e+00  1.600000e+02  1.000000e+00  3.200000e+01  4.353115e+01  2.200000e+03  1.425304e+02  1.919927e+04  8.765162e+01  3.937750e+01  7.668030e+00  1.656820e+05  4.207540e+04  1.066667e+01  1.319390e+02  5.919470e-04  2.333913e+05  8.237800e+04  3.193699e+04  9.019320e+04
